project_code;sc_lev;sc_descr;dc_lev;dc_descr;vc_lev_target;vc_lev;vc_descr;uz;d_uz_dx;d_ux_dx
MDW029_S_E_05;1;low sensibility;1;architectural damage;1;1;low vulnerability - no monit no treat req;0.025;0.0015;0.0008
MDW029_S_E_05;1;low sensibility;2.1;moderate functional damage;1;1;low vulnerability - no monit no treat req;0.03;0.0022;0.0012
MDW029_S_E_05;1;low sensibility;2.2;functional damage;1;2;medium vulnerability - monit req;0.04;0.003;0.0016
MDW029_S_E_05;1;low sensibility;3;strutural damage;1;3;high vulnerability - monit and treat req;999;999;999
MDW029_S_E_05;2;medium sensibility;1;architectural damage;1;1;low vulnerability - no monit no treat req;0.02;0.001;0.0006
MDW029_S_E_05;2;medium sensibility;2.1;moderate functional damage;1;2;medium vulnerability - monit req;0.25;0.0015;0.0009
MDW029_S_E_05;2;medium sensibility;2.2;functional damage;1;3;high vulnerability - monit and treat req;0.03;0.002;0.0012
MDW029_S_E_05;2;medium sensibility;3;strutural damage;1;3;high vulnerability - monit and treat req;999;999;999
MDW029_S_E_05;3;high sensibility;1;architectural damage;2;2;medium vulnerability - monit req;0.01;0.0005;0.0004
MDW029_S_E_05;3;high sensibility;2.1;moderate functional damage;2;2;medium vulnerability - monit req;0.015;0.00075;0.0006
MDW029_S_E_05;3;high sensibility;2.2;functional damage;2;3;high vulnerability - monit and treat req;0.02;0.001;0.0008
MDW029_S_E_05;3;high sensibility;3;strutural damage;2;3;high vulnerability - monit and treat req;999;999;999
