bldg_code;depth_fondation;z_fondation;elev_med;height_overground;typology;sc_lev
2;3.81;10.15;13.96275763;33.5;building;1
3;1.21;13.15;14.3565006;24.5;building;1
3B;0;13.92;13.92075073;7;building;1
4;2.92;11.6;14.51751686;33.5;building;1
5;0.83;15.15;15.98286815;16.5;building;1
6;7.05;15.35;22.4030487;22.5;building;1
6A;7.39;16.35;23.73612633;10;building;1
6B;7.56;16.35;23.9078804;10;building;1
7;8.28;17;25.2805706;29.5;building;1
8;0.84;26.4;27.24247602;29;building;1
9;0;32.2;31.2735076;21.5;building;1
10;4.36;29.6;33.96452034;19;building;1
10A;3.51;31;34.51049215;19;building;1
11;3.29;32.15;35.44048812;20.5;building;1
11A;4;32.15;36.1477234;20.5;building;1
12;5.98;30;35.97574379;27.5;building;1
13;3.72;32.75;36.47314411;23.5;building;1
14;1.24;35.35;36.58500119;14;building;1
15;4.43;32.85;37.27715625;21;building;1
16;1.05;35.9;36.94535817;21.5;building;1
17;0.39;36.95;37.33563917;17;building;1
18;3.71;34.05;37.7621725;17.5;building;1
19;1.37;36.55;37.91942225;16;building;1
20;0.46;37.8;38.26058814;27.5;building;1
21;0;38.45;38.25792809;10;building;1
22;3.71;34.7;38.40911223;23;building;1
23;0.4;37.55;37.95380449;25;building;1
24;2.5;34.9;37.40188831;21;building;1
25;0.07;37.8;37.87437526;15;building;1
25A;4.71;33;37.71377113;29;building;1
26;2.06;34.7;36.76407871;9.5;building;1
27;1.33;35.9;37.23034121;9;building;1
28;3.01;37.5;40.50966713;15;building;1
29;2.71;38.1;40.80868852;10;building;1
30;3.1;36.7;39.7968353;6.5;building;1
31;4.54;35.3;39.83511503;14;building;1
32;5.33;34.35;39.67641361;28;building;1
33;0;43.9;41.27707932;4;building;1
34;0;44.8;43.79130482;8;building;1
35;0.65;43.9;44.54977621;5.5;building;1
36;2.24;43.95;46.1935382;6;building;1
37;2.5;44.6;47.09859448;18.5;building;1
38;0.04;45.3;45.34483345;30.5;building;1
39;3.35;44.3;47.65226628;15;building;1
40;2.15;45.05;47.19785593;19;building;1
41;1.69;46.5;48.19383482;6;building;1
42;3.73;44;47.72842813;17;building;1
43;3.67;44.5;48.16791157;5;building;1
44;1.81;46.65;48.46357085;6;building;1
45;0.78;47.3;48.08119649;4;building;1
46;0.38;47.5;47.87602383;4;building;1
47;2.01;45.5;47.51340757;9.5;building;1
48;2.77;45.6;48.365383;10;building;1
49;1.99;46.65;48.64229275;14.5;building;1
50;0.25;43.95;44.20202826;19.5;building;1
51;1.16;43.2;44.35588686;11.5;building;1
52;2.69;42.05;44.74368082;21;building;1
53;2.44;41.4;43.83515985;13;building;1
54;0.38;43.7;44.07814369;3;building;1
55;4.48;36.25;40.73032448;14;building;1
56;0;43.25;42.4193643;17;building;1
57;0;41.8;41.40322887;3.5;building;1
57A;3.47;38.8;42.26795522;21;building;1
58;1.49;39.3;40.78877343;4.5;building;1
59;0;42.65;42.07629821;18.5;building;1
59A;0.76;41.8;42.56129873;3.5;building;1
60;3.22;42.4;45.62053655;9;building;1
60A;6.41;38;44.40675283;28;building;1
61;0.93;41.1;42.03303148;12.5;building;1
62;0.17;41.6;41.76734184;5.5;building;1
63;0.98;45.1;46.08358736;11;building;1
64;1.73;42.85;44.58240528;10;building;1
65;2.68;40.95;43.62821924;10.5;building;1
66;6.12;36.9;43.01551969;10.8;building;1
66A;5.13;36.9;42.02998702;10.8;building;1
66B;5.66;36.9;42.55853772;10.8;building;1
66C;1.32;42;43.31821745;13.9;building;1
66D;1.73;42;43.72839232;16;building;1
66E;6.57;36.9;43.4717951;10.8;building;1
67;1.44;39.6;41.03865806;8.5;building;1
68;0;43.8;42.51702629;9;building;1
69;0.93;41.1;42.0318803;10.5;building;1
70;1.29;39.95;41.23744671;10.5;building;1
71;0;41.2;41.20424014;9.5;building;1
72;1.03;40.1;41.13250422;9.5;building;1
73;0;41.1;40.20032088;5.5;building;1
74;0;39.95;38.63791741;12;building;1
75;2.06;35.48;37.54164559;6;building;1
76;1.876148457;35.75;37.63061854;35.75;building;1
76B;4.68;35.75;40.43446501;6.5;building;1
77;0;35.65;35.60913515;4.5;building;1
78;1.6;39.7;41.29838972;26;building;1
79;0;44.85;43.35282019;17;building;1
80;0;39;38.64392331;28;building;1
81;0;42.5;41.43207681;25.5;building;1
82;1.19;37.3;38.49023512;29;building;1
83;0.97;45;45.9705596;22.5;building;1
84;3.52;40.5;44.0248166;25;building;1
85;0.92;45.65;46.57401613;20.5;building;1
86;0;43.5;41.75357866;24;building;1
87;0;45.45;43.75769192;14.5;building;1
88;2.23;37.9;40.1305472;12;building;1
89;5.07;35.35;40.41772114;20.5;building;1
90;0;45.5;43.07573327;17.5;building;1
91;2.44;38.4;40.84011359;5.5;building;1
92;1.6;38.15;39.75363929;18.5;building;1
93;1.22;37.5;38.71767646;4;building;1
94;2.2;39;41.2132725;7.5;building;1
95;1.65;39;40.65458769;6.5;building;1
96;0.6;39.65;40.2586014;9.5;building;1
97;0;40.25;40.24568935;6;building;1
98;2.4;40.25;42.65544465;17.5;building;1
