code;imin;imax;Emin;Emax;phimin;phimax;cmin;cmax;Cumin;Cumax;kmin;kmax;k0min;k0max;n;inom;etounnel;phi_tr;c_tr;k0
Rp;17.3;17.3;17.37;17.37;35.79;35.79;8.94;8.94;-;-;-;-;0.4152;0.4152;0.3;17.3;17.37;35.79;8.94;0.4152
Sbl;17.6;17.6;37.92;37.92;30.79;30.79;3.18;3.18;50;50;0.00001;0.00001;0.4881;0.4881;0.3;17.6;37.92;30.79;3.18;0.4881
Sb;19.3;19.3;56.38;56.38;34.94;34.94;1.58;1.58;50;50;0.0001;0.0001;0.4272;0.4272;0.3;19.3;56.38;34.94;1.58;0.4272
Agm;19.3;19.3;88.43;88.43;17.79;17.79;14.71;14.71;100;100;-;-;0.6945;0.6945;0.3;19.3;88.43;17.79;14.71;0.6945
Limi;18.5;18.5;24.74;24.74;30.32;30.32;3.18;3.18;150;150;0.00001;0.00001;0.4952;0.4952;0.3;18.5;24.74;30.32;3.18;0.4952
Al;19.3;19.3;37.32;37.32;38.32;38.32;0.79;0.79;-;-;0.00001;0.00001;0.38;0.38;0.3;19.3;37.32;38.32;0.79;0.38
Bvlc;19.6;19.6;65.76;65.76;40.8;40.8;4.72;4.72;-;-;0.00001;0.00001;0.3466;0.3466;0.3;19.6;65.76;40.8;4.72;0.3466
La;22.6;22.6;5000;5000;48.35;48.35;231.34;231.34;-;-;0.001;0.001;0.2528;0.2528;0.3;22.6;5000;48.35;231.34;0.2528
Lbb;22.6;22.6;5000;5000;48.35;48.35;231.34;231.34;-;-;0.001;0.001;0.2528;0.2528;0.3;22.6;5000;48.35;231.34;0.2528
L1669;22.6;22.6;5000;5000;48.35;48.35;231.34;231.34;-;-;0.001;0.001;0.2528;0.2528;0.3;22.6;5000;48.35;231.34;0.2528
Sbv;18.6;18.6;46.31;46.31;32.79;32.79;1.58;1.58;-;-;0.00001;0.00001;0.4585;0.4585;0.3;18.6;46.31;32.79;1.58;0.4585
P;19.3;19.3;56.38;56.38;25.79;25.79;0.79;0.79;-;-;0.0001;0.0001;0.5649;0.5649;0.3;19.3;56.38;25.79;0.79;0.5649
