code;imin;imax;Emin;Emax;phimin;phimax;cmin;cmax;Cumin;Cumax;kmin;kmax;k0max;k0min;n;inom;etounnel;phi_tr;c_tr;k0
Rp;17;19;15;30;35;40;5;30;-0;-0;-0;-0;0,426423564;0,35721239;0,3;17;15;35;5;0,426423564
Sbl;17;21;30;80;30;35;0;20;50;200;0,00001;0,000001;0,5;0,426423564;0,3;17;30;30;0;0,5
Sb;19;21;50;90;34;40;0;10;50;200;0,0001;0,000001;0,440807097;0,35721239;0,3;19;50;34;0;0,440807097
Agm;19;21;60;240;17;22;10;40;100;300;-0;-0;0,707628295;0,625393407;0,3;19;60;17;10;0,707628295
Limi;18;21;20;50;30;32;0;20;150;300;0,00001;0,000001;0,5;0,470080736;0,3;18;20;30;0;0,5
Al;19;21;20;130;38;40;0;5;-0;-0;0,00001;0,000001;0,384338525;0,35721239;0,3;19;20;38;0;0,384338525
Bvlc;19;23;50;150;40;45;0;30;-0;-0;0,00001;0,000001;0,35721239;0,292893219;0,3;19;50;40;0;0,35721239
La;22;26;5000;5000;45;66;200;400;-0;-0;0,001;0,00001;0,292893219;0,086454542;0,3;22;5000;45;200;0,292893219
Lbb;22;26;5000;5000;45;66;200;400;-0;-0;0,001;0,00001;0,292893219;0,086454542;0,3;22;5000;45;200;0,292893219
L1669;22;26;5000;5000;45;66;200;400;-0;-0;0,001;0,00001;0,292893219;0,086454542;0,3;22;5000;45;200;0,292893219
Sbv;18;22;40;80;32;37;0;10;-0;-0;0,00001;0,000001;0,470080736;0,398184977;0,3;18;40;32;0;0,470080736
P;19;21;50;90;25;30;0;5;-0;-0;0,0001;0,000001;0,577381738;0,5;0,3;19;50;25;0;0,577381738
