sc_lev;sc_descr;dc_lev;dc_descr;vc_lev_target;vc_lev;vc_descr;uz;d_uz_dx;d_ux_dx
1;low sensibility;1;architectural damage;1;1;low vulnerability - no monit no treat req;0.025;1.5;0.8
1;low sensibility;2.1;moderate functional damage;1;1;low vulnerability - no monit no treat req;0.03;2.2;1.2
1;low sensibility;2.2;functional damage;1;2;medium vulnerability - monit req;0.04;3;1.6
1;low sensibility;3;strutural damage;1;3;high vulnerability - monit and treat req;999;999;999
2;medium sensibility;1;architectural damage;1;1;low vulnerability - no monit no treat req;0.02;1;0.6
2;medium sensibility;2.1;moderate functional damage;1;2;medium vulnerability - monit req;0.25;1.5;0.9
2;medium sensibility;2.2;functional damage;1;3;high vulnerability - monit and treat req;0.03;2;1.2
2;medium sensibility;3;strutural damage;1;3;high vulnerability - monit and treat req;999;999;999
3;high sensibility;1;architectural damage;2;2;medium vulnerability - monit req;0.01;0.5;0.4
3;high sensibility;2.1;moderate functional damage;2;2;medium vulnerability - monit req;0.015;0.75;0.6
3;high sensibility;2.2;functional damage;2;3;high vulnerability - monit and treat req;0.02;1;0.8
3;high sensibility;3;strutural damage;2;3;high vulnerability - monit and treat req;999;999;999
