code;inom;imin;imax;elt;esout;etounnel;phi_dr;c_dr;phi_tr;c_tr;phi_un;c_un;k0;n
R;18;12;22;10;30;20;30;5;30;5;20;15;0.5;0.33
EB;20;19;22;20;60;40;25;0;25;0;20;5;0.5;0.3
LP;19;19;19;60;180;120;25;0;25;0;15;40;0.5;0.33
Am;20;18;23;14;42;28;25;5;20;10;10;40;0.7;0.3
Aa;20;15;23;15;45;30;35;0;35;0;30;0;0.5;0.3
TB;19;18;20;37.5;112.5;75;25;10;25;10;25;10;0.5;0.3
GV;19;17;20;27;81;54;15;20;0;80;0;80;0.8;0.35
MP;20;19;21;75;225;150;25;30;15;110;5;190;0.6;0.35
MA;20;19;21;75;225;150;25;25;25;100;25;180;0.6;0.35
MFL4;18;15;20;50;150;100;25;35;15;60;10;110;0.6;0.3
MFL5;19;17;21;420;1260;840;30;40;15;80;10;150;0.6;0.3
MIG;18;16;19;30;90;60;35;15;25;30;25;45;0.6;0.33
SO1;19;15;22;540;1620;1080;30;30;20;75;15;150;0.5;0.35
SO4;18;15;20;160;480;320;30;30;20;75;15;150;0.5;0.35
SO2;18;12;22;70;210;140;30;25;20;45;15;90;0.5;0.35
SB;21;17;22;64;192;128;35;25;30;40;25;80;0.5;0.3
MCA;20;16;23;60;180;120;35;15;25;60;25;90;0.5;0.35
MC;19;14;24;340;1020;680;35;40;30;120;30;180;0.5;0.35
CG;21;17;27;600;1800;1200;40;100;40;100;40;100;0.5;0.2
AP;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FG;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SS;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TB;0;0;0;0;0;0;0;0;0;0;0;0;0;0
